Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Himachal Pradesh,,,,,
Arhar/Tur,,,,,
 1.BILASPUR, 1998-99,Kharif     ,4,1,0.25
, 1999-00,Kharif     ,1,0,0
, 2000-01,Kharif     ,3,1,0.33
, 2001-02,Kharif     ,11,3,0.27
, 2002-03,Kharif     ,17,4,0.24
, 2005-06,Kharif     ,4,2,0.5
, 2007-08,Kharif     ,2,1,0.5
, 2018-19,Kharif     ,3,1,0.33
, 2019-20,Kharif     ,4,4,1
 2.CHAMBA, 2006-07,Kharif     ,45,16,0.36
, 2018-19,Kharif     ,6,3,0.5
, 2019-20,Kharif     ,16,12,0.75
 3.KANGRA, 1999-00,Kharif     ,2,0,0
, 2000-01,Kharif     ,1,1,1
, 2001-02,Kharif     ,24,6,0.25
, 2007-08,Kharif     ,17,6,0.35
, 2008-09,Kharif     ,1,,0
, 2009-10,Kharif     ,1,,0
, 2010-11,Kharif     ,1,,0
, 2011-12,Kharif     ,1,,0
, 2012-13,Kharif     ,5,1,0.2
, 2013-14,Kharif     ,22,6,0.27
, 2014-15,Kharif     ,9,3,0.33
, 2015-16,Kharif     ,12,3,0.25
, 2016-17,Kharif     ,1,,0
, 2017-18,Kharif     ,12,5,0.42
, 2018-19,Kharif     ,19,10,0.53
, 2019-20,Kharif     ,28,17,0.61
 4.KULLU, 2000-01,Kharif     ,98,15,0.15
, 2001-02,Kharif     ,1370,312,0.23
, 2018-19,Kharif     ,4,2,0.5
, 2019-20,Kharif     ,11,6,0.55
 5.MANDI, 1999-00,Kharif     ,19,3,0.16
, 2000-01,Kharif     ,28,4,0.14
, 2001-02,Kharif     ,1,1,1
, 2005-06,Kharif     ,1,,0
 6.SHIMLA, 1998-99,Kharif     ,24,6,0.25
, 1999-00,Kharif     ,102,23,0.23
, 2000-01,Kharif     ,66,10,0.15
, 2001-02,Kharif     ,73,16,0.22
, 2002-03,Kharif     ,49,11,0.22
, 2005-06,Kharif     ,4,2,0.5
, 2006-07,Kharif     ,105,35,0.33
, 2007-08,Kharif     ,27,9,0.33
